level,lemma,pos,translation_pt,example_de,example_pt,topic,difficulty_note,separavel,irregular
A2,ausziehen,verb,despir,"Zieh deine Jacke aus.","Tira o casaco.",Alltag,Separável: aus + ziehen; zog aus/ausgezogen,true,true
A2,aufräumen,verb,arrumar,"Räum bitte dein Zimmer auf.","Arruma o teu quarto, por favor.",Wohnen,Separável: auf + räumen; regular,true,false
A2,putzen,verb,limpar/escovar,"Ich putze zweimal am Tag die Zähne.","Escovo os dentes duas vezes por dia.",Alltag,Regular; Zähne putzen = escovar os dentes,false,false
A2,einladen,verb,convidar,"Ich lade dich zu meiner Party ein.","Convido-te para a minha festa.",Gesellschaft,Separável: ein + laden; lädt ein / lud ein / eingeladen,true,true
A2,gratulieren,verb,felicitar/dar parabéns,"Herzlichen Glückwunsch! Ich gratuliere dir.","Parabéns! Felicito-te.",Gesellschaft,Regular; gratulieren + Dativ,false,false
A2,empfehlen,verb,recomendar,"Können Sie mir ein Restaurant empfehlen?","Pode recomendar-me um restaurante?",Alltag,Irregular: empfiehlt (e→ie); empfahl/empfohlen; inseparável,false,true
A2,erklären,verb,explicar,"Der Lehrer erklärt die Grammatik.","O professor explica a gramática.",Sprache,Inseparável: er-; regular,false,false
A2,wiederholen,verb,repetir,"Können Sie das bitte wiederholen?","Pode repetir, por favor?",Sprache,Inseparável: wieder-; regular (atenção ao acento),false,false
A2,übersetzen,verb,traduzir,"Können Sie das ins Portugiesische übersetzen?","Pode traduzir para português?",Sprache,Separável (acento): über + setzen; regular; inseparável num sentido diferente,true,false
A2,arbeiten an,verb,trabalhar em,"Wir arbeiten an einem neuen Projekt.","Estamos a trabalhar num novo projeto.",Arbeit,Regular + an + Dativ; preposição fixa,false,false
A2,aufpassen,verb,tomar atenção/vigiar,"Pass auf! Ich passe auf das Kind auf.","Cuidado! Cuido da criança.",Alltag,Separável: auf + passen; regular,true,false
A2,probieren,verb,provar/experimentar,"Möchten Sie das probieren?","Gostaria de experimentar isso?",Essen,Regular; ≈ versuchen (tentar),false,false
A2,möchten,verb,gostaria de (forma polida),"Ich möchte einen Kaffee.","Gostaria de um café.",Modalverben,Forma de cortesia de mögen; Konjunktiv II de mögen; muito frequente,false,true
A2,leihen,verb,emprestar/pedir emprestado,"Kannst du mir dein Fahrrad leihen?","Podes emprestar-me a tua bicicleta?",Alltag,Irregular: lieh/geliehen; atenção à direção do empréstimo,false,true
A2,gewinnen,verb,ganhar (competição),"Wer hat gewonnen? Wir haben gewonnen!","Quem ganhou? Nós ganhámos!",Freizeit,Irregular: gewann/gewonnen,false,true
A2,verlieren,verb,perder (competição),"Leider haben wir verloren.","Infelizmente perdemos.",Freizeit,Irregular: verlor/verloren,false,true
A2,aufmachen,verb,abrir (separável informal),"Mach bitte die Tür auf!","Abre a porta, por favor!",Alltag,Separável: auf + machen; regular; mais informal que öffnen,true,false
B1,sich bewerben,verb,candidatar-se a,"Ich bewerbe mich um diese Stelle.","Candidato-me a este posto.",Arbeit,Irregular: bewirbt (e→i); bewarb/beworben; reflexivo obrigatório + um + Akk,false,true
B1,kündigen,verb,despedir/rescindir,"Er hat seine Stelle gekündigt.","Ele rescindiu o seu contrato.",Arbeit,Regular; intrans. = demitir-se; trans. = despedir,false,false
B1,einstellen,verb,contratar,"Das Unternehmen stellt neue Mitarbeiter ein.","A empresa está a contratar novos funcionários.",Arbeit,Separável: ein + stellen; regular; também = ajustar,true,false
B1,übernehmen,verb,assumir/encarregar-se,"Ich übernehme diese Aufgabe.","Fico encarregue desta tarefa.",Arbeit,Inseparável: über-; irregular (nehmen),false,true
B1,leiten,verb,dirigir/liderar,"Sie leitet die Abteilung seit fünf Jahren.","Ela dirige o departamento há cinco anos.",Arbeit,Regular; Leiter = líder/diretor,false,false
B1,teilnehmen,verb,participar em,"Ich nehme an dem Kurs teil.","Participo no curso.",Alltag,Separável: teil + nehmen; irregular + an + Dativ,true,true
B1,sich kümmern,verb,tratar de/ocupar-se de,"Wer kümmert sich um die Kinder?","Quem trata das crianças?",Alltag,Regular; reflexivo obrigatório + um + Akkusativ,false,false
B1,verbringen,verb,passar (tempo),"Ich verbringe meinen Urlaub in Italien.","Passo as minhas férias em Itália.",Freizeit,Inseparável: ver-; irregular: verbrachte/verbracht,false,true
B1,beschreiben,verb,descrever,"Können Sie das Problem beschreiben?","Pode descrever o problema?",Kommunikation,Inseparável: be-; irregular: beschrieb/beschrieben,false,true
B1,erkennen,verb,reconhecer/identificar,"Ich habe ihn sofort erkannt.","Reconheci-o imediatamente.",Kommunikation,Inseparável: er-; irregular: erkannte/erkannt,false,true
B1,unterscheiden,verb,distinguir/diferenciar,"Kannst du die zwei Varianten unterscheiden?","Consegues distinguir as duas variantes?",Kommunikation,Inseparável: unter-; irregular: unterschied/unterschieden,false,true
B1,vergleichen,verb,comparar,"Vergleich die beiden Möglichkeiten!","Compara as duas possibilidades!",Kommunikation,Inseparável: ver-; irregular: verglich/verglichen,false,true
B1,erfahren,verb,descobrir/saber (notícia),"Ich habe es erst heute erfahren.","Só soube hoje.",Alltag,Inseparável: er-; irregular: erfuhr/erfahren,false,true
B1,sich gewöhnen,verb,habituar-se a,"Ich gewöhne mich langsam an das Klima.","Estou a habituar-me devagar ao clima.",Alltag,Regular; reflexivo + an + Akkusativ,false,false
B1,abhängen,verb,depender de,"Das hängt von dir ab.","Isso depende de ti.",Alltag,Separável: ab + hängen; regular; + von + Dativ,true,false
B1,vorschlagen,verb,propor/sugerir,"Ich schlage vor, dass wir zusammen essen.","Proponho que comamos juntos.",Kommunikation,Separável: vor + schlagen; irregular: schlägt vor/schlug vor/vorgeschlagen,true,true
B1,auffordern,verb,pedir/instar,"Er forderte mich auf, Platz zu nehmen.","Ele pediu-me que me sentasse.",Kommunikation,Separável: auf + fordern; regular,true,false
B1,zustimmen,verb,concordar,"Ich stimme Ihrer Meinung zu.","Concordo com a sua opinião.",Kommunikation,Separável: zu + stimmen; regular + Dativ,true,false
B1,ablehnen,verb,rejeitar/recusar,"Er hat das Angebot abgelehnt.","Ele recusou a oferta.",Kommunikation,Separável: ab + lehnen; regular,true,false
B1,vorhaben,verb,tencionar/planear fazer,"Was hast du am Wochenende vor?","O que tencionas fazer ao fim de semana?",Alltag,Separável: vor + haben; irregular (haben); sehr frequente,true,true
B1,aufnehmen,verb,gravar/admitir/receber,"Die Universität nimmt 500 Studenten auf.","A universidade admite 500 estudantes.",Alltag,Separável: auf + nehmen; irregular (nehmen); múltiplos sentidos,true,true
B1,nachdenken,verb,pensar/refletir,"Ich muss darüber nachdenken.","Tenho de pensar nisso.",Denken,Separável: nach + denken; irregular: dachte nach/nachgedacht,true,true
B1,überlegen,verb,considerar/ponderar,"Ich überlege mir, ob ich das mache.","Estou a ponderar se faço isso.",Denken,Regular; reflexivo: sich überlegen; + ob/dass,false,false
B1,bemerken,verb,notar/aperceber-se de,"Ich habe bemerkt, dass etwas fehlt.","Apercebi-me de que faltava algo.",Denken,Inseparável: be-; regular; ≈ wahrnehmen,false,false
B1,beachten,verb,ter em conta/prestar atenção,"Bitte beachten Sie die Vorschriften.","Por favor tenha em conta as regras.",Alltag,Inseparável: be-; regular; formal,false,false
B1,erreichen,verb,alcançar/atingir,"Ich habe mein Ziel erreicht.","Alcancei o meu objetivo.",Alltag,Inseparável: er-; regular,false,false
B1,lösen,verb,resolver/solucionar,"Wir müssen das Problem lösen.","Temos de resolver o problema.",Alltag,Regular; also: ablösen (substituir), auflösen (dissolver),false,false
B1,gründen,verb,fundar/criar,"Er hat eine Firma gegründet.","Ele fundou uma empresa.",Wirtschaft,Regular; von Grund = fundamento,false,false
B1,entwickeln,verb,desenvolver,"Das Unternehmen entwickelt neue Produkte.","A empresa desenvolve novos produtos.",Wirtschaft,Regular; sich entwickeln = desenvolver-se,false,false
B1,wachsen,verb,crescer,"Die Wirtschaft wächst langsam.","A economia cresce lentamente.",Natur/Wirtschaft,Irregular: wächst (a→ä); wuchs/gewachsen,false,true
B1,schützen,verb,proteger,"Wir müssen die Umwelt schützen.","Temos de proteger o meio ambiente.",Umwelt,Regular; vor + Dativ = proteger de,false,false
B1,vermeiden,verb,evitar,"Vermeide zu viel Stress!","Evita demasiado stress!",Gesundheit,Inseparável: ver-; irregular: vermied/vermieden,false,true
B1,sich ernähren,verb,alimentar-se,"Er ernährt sich gesund.","Ele alimenta-se de forma saudável.",Gesundheit,Regular; reflexivo + von + Dativ,false,false
B1,bewegen,verb,mover(-se),"Beweg dich mehr! Er bewegt sich wenig.","Move-te mais! Ele move-se pouco.",Gesundheit,Regular; reflexivo: sich bewegen,false,false
B1,heilen,verb,curar,"Die Wunde heilt langsam.","A ferida cura lentamente.",Gesundheit,Regular; transitivo: curar alguém; intransitivo: sarar,false,false
B1,berichten,verb,relatar/informar,"Die Zeitung berichtet über den Unfall.","O jornal relata o acidente.",Medien,Inseparável: be-; regular; + über + Akkusativ,false,false
B1,kritisieren,verb,criticar,"Er kritisierte die Regierung.","Ele criticou o governo.",Gesellschaft,Regular; de griechisch kritikós,false,false
B1,diskutieren,verb,discutir/debater,"Wir diskutieren über Politik.","Debatemos política.",Gesellschaft,Regular; + über + Akkusativ,false,false
B1,unterstützen,verb,apoiar/subsidiar,"Die Regierung unterstützt kleine Unternehmen.","O governo apoia as pequenas empresas.",Gesellschaft,Inseparável: unter-; regular,false,false
B1,sich vorstellen,verb,imaginar/representar-se,"Ich kann mir das nicht vorstellen.","Não consigo imaginar isso.",Denken,Separável: vor + stellen + reflexivo; = fantasiar (vs. sich vorstellen = apresentar-se),true,false
B1,planen,verb,planear,"Wir planen einen Urlaub in Deutschland.","Planeamos umas férias na Alemanha.",Alltag,Regular; Planer = planeador; Plan = plano,false,false
B1,erinnernen,verb,lembrar(-se),"Ich erinnere mich noch gut daran.","Ainda me lembro bem disso.",Alltag,Inseparável: er-; regular; sich erinnern an + Akkusativ,false,false
B1,anmelden,verb,inscrever(-se)/registar,"Ich melde mich zum Kurs an.","Inscrevo-me no curso.",Verwaltung,Separável: an + melden; regular; reflexivo: sich anmelden,true,false
B1,ausfüllen,verb,preencher (formulário),"Bitte füllen Sie das Formular aus.","Por favor preencha o formulário.",Verwaltung,Separável: aus + füllen; regular,true,false
B1,beantragen,verb,requerer/pedir (oficial),"Ich beantrage ein Visum.","Requeiro um visto.",Verwaltung,Inseparável: be-; regular,false,false
B1,überweisen,verb,transferir (dinheiro),"Ich überweise das Geld morgen.","Transfiro o dinheiro amanhã.",Verwaltung,Inseparável: über-; irregular: überwies/überwiesen,false,true
B1,klagen,verb,queixar-se/processar,"Er klagt über Rückenschmerzen.","Ele queixa-se de dores nas costas.",Gesellschaft,Regular; klagen über + Akkusativ; Klage = queixa,false,false
B2,analysieren,verb,analisar,"Wir analysieren die Daten genau.","Analisamos os dados com precisão.",Wissenschaft,Regular; de grego analyein,false,false
B2,interpretieren,verb,interpretar,"Wie interpretieren Sie diese Ergebnisse?","Como interpreta estes resultados?",Wissenschaft,Regular; de latim interpretari,false,false
B2,evaluieren,verb,avaliar (sistematicamente),"Das Programm wird jährlich evaluiert.","O programa é avaliado anualmente.",Wissenschaft,Regular; mais formal que bewerten,false,false
B2,begründen,verb,fundamentar/justificar,"Bitte begründen Sie Ihre Entscheidung.","Por favor justifique a sua decisão.",Wissenschaft,Inseparável: be-; regular; Begründung = fundamentação,false,false
B2,nachweisen,verb,comprovar/demonstrar,"Er konnte seine Unschuld nachweisen.","Ele conseguiu comprovar a sua inocência.",Wissenschaft,Separável: nach + weisen; irregular: wies nach/nachgewiesen,true,true
B2,ausdrücken,verb,expressar/exprimir,"Wie kann ich das ausdrücken?","Como posso expressar isso?",Kommunikation,Separável: aus + drücken; regular; sich ausdrücken = exprimir-se,true,false
B2,formulieren,verb,formular/redigir,"Formulieren Sie Ihre Antwort klar.","Formule a sua resposta com clareza.",Kommunikation,Regular; Formulierung = formulação,false,false
B2,argumentieren,verb,argumentar,"Er argumentiert überzeugend.","Ele argumenta de forma convincente.",Kommunikation,Regular; Argumentation = argumentação,false,false
B2,widersprechen,verb,contradizer/opor-se,"Ich muss dir widersprechen.","Tenho de te contradizer.",Kommunikation,Inseparável: wider-; irregular: widersprach/widersprochen + Dativ,false,true
B2,behaupten,verb,afirmar/alegar,"Er behauptet, dass er Recht hat.","Ele afirma que tem razão.",Kommunikation,Inseparável: be-; regular; Behauptung = afirmação,false,false
B2,bezweifeln,verb,duvidar de,"Ich bezweifle, dass das stimmt.","Duvido que isso seja verdade.",Kommunikation,Inseparável: be-; regular; Zweifel = dúvida,false,false
B2,zugeben,verb,admitir/confessar,"Er gibt zu, dass er einen Fehler gemacht hat.","Ele admite ter cometido um erro.",Kommunikation,Separável: zu + geben; irregular (geben); + dass,true,true
B2,berücksichtigen,verb,ter em conta/considerar,"Wir müssen alle Faktoren berücksichtigen.","Temos de ter em conta todos os fatores.",Alltag,Inseparável: be-; regular; formal e frequente,false,false
B2,ermöglichen,verb,possibilitar/permitir,"Das Internet ermöglicht weltweite Kommunikation.","A internet possibilita a comunicação global.",Alltag,Inseparável: er-; regular,false,false
B2,verhindern,verb,impedir/prevenir,"Wir müssen diesen Fehler verhindern.","Temos de impedir este erro.",Alltag,Inseparável: ver-; regular,false,false
B2,einschränken,verb,restringir/limitar,"Die Regierung schränkt die Reisefreiheit ein.","O governo restringe a liberdade de viajar.",Politik,Separável: ein + schränken; regular,true,false
B2,aufheben,verb,abolir/anular/guardar,"Das Gesetz wurde aufgehoben.","A lei foi abolida.",Politik/Recht,Separável: auf + heben; irregular: hob auf/aufgehoben; múltiplos sentidos,true,true
B2,durchsetzen,verb,impor/fazer valer,"Er setzt immer seinen Willen durch.","Ele impõe sempre a sua vontade.",Gesellschaft,Separável: durch + setzen; regular,true,false
B2,abschaffen,verb,abolir/eliminar,"Diese Regel sollte abgeschafft werden.","Esta regra deveria ser abolida.",Politik,Separável: ab + schaffen; regular,true,false
B2,umsetzen,verb,implementar/concretizar,"Der Plan wird jetzt umgesetzt.","O plano está agora a ser implementado.",Wirtschaft,Separável: um + setzen; regular,true,false
B2,finanzieren,verb,financiar,"Das Projekt wird öffentlich finanziert.","O projeto é financiado com dinheiro público.",Wirtschaft,Regular; Finanzierung = financiamento,false,false
B2,investieren,verb,investir,"Das Unternehmen investiert in neue Technologien.","A empresa investe em novas tecnologias.",Wirtschaft,Regular; + in + Akkusativ,false,false
B2,steigern,verb,aumentar/elevar,"Wir müssen die Produktivität steigern.","Temos de elevar a produtividade.",Wirtschaft,Regular; auch: sich steigern (aumentar intransitivo),false,false
B2,sinken,verb,baixar/descer (preços),"Die Preise sinken langsam.","Os preços estão a baixar lentamente.",Wirtschaft,Irregular: sank/gesunken; ≠ senken (baixar transitivo),false,true
B2,fördern,verb,promover/apoiar/financiar,"Der Staat fördert erneuerbare Energien.","O Estado promove as energias renováveis.",Politik/Wirtschaft,Regular; Förderung = promoção/apoio,false,false
B2,gefährden,verb,pôr em risco/ameaçar,"Der Klimawandel gefährdet die Artenvielfalt.","As alterações climáticas ameaçam a biodiversidade.",Umwelt,Inseparável: ge-; regular,false,false
B2,verursachen,verb,causar/provocar,"Der Unfall wurde durch Nebel verursacht.","O acidente foi causado pelo nevoeiro.",Alltag,Inseparável: ver-; regular; Ursache = causa,false,false
B2,auswirken,verb,ter impacto/repercutir-se,"Die Krise wirkt sich auf alle aus.","A crise tem impacto em todos.",Alltag,Separável: aus + wirken; regular; reflexivo: sich auswirken auf + Akk,true,false
B2,bewirken,verb,causar/provocar (resultado),"Die Reform hat positive Veränderungen bewirkt.","A reforma provocou mudanças positivas.",Alltag,Inseparável: be-; regular; ≈ verursachen mas com resultado positivo possível,false,false
B2,sich durchsetzen,verb,impor-se/ser aprovado,"Die neue Technologie setzt sich durch.","A nova tecnologia está a impor-se.",Gesellschaft,Separável: durch + setzen + reflexivo,true,false
B2,beitragen,verb,contribuir para,"Jeder kann zum Umweltschutz beitragen.","Cada um pode contribuir para a proteção ambiental.",Gesellschaft,Separável: bei + tragen; irregular (tragen): trug bei/beigetragen + zu + Dativ,true,true
B2,hervorbringen,verb,produzir/gerar (resultado),"Diese Forschung bringt wichtige Ergebnisse hervor.","Esta investigação produz resultados importantes.",Wissenschaft,Separável: hervor + bringen; irregular (bringen),true,true
B2,unterschätzen,verb,subestimar,"Man sollte dieses Problem nicht unterschätzen.","Não se deve subestimar este problema.",Alltag,Inseparável: unter-; regular; ≠ überschätzen (sobrestimar),false,false
B2,überwinden,verb,superar/vencer (obstáculo),"Er hat seine Angst überwunden.","Ele superou o seu medo.",Alltag,Inseparável: über-; irregular: überwand/überwunden,false,true
